fecha,num_transacciones,ingresos,ticket_promedio,unidades
2024-01-01,22,235.44,10.7,50
2024-01-02,29,444.26,15.32,78
2024-01-03,21,331.49,15.79,48
2024-01-04,32,592.41,18.51,81
2024-01-05,19,184.04,9.69,53
2024-01-06,23,308.33,13.41,62
2024-01-07,38,495.34,13.04,86
2024-01-08,26,378.04,14.54,53
2024-01-09,26,387.15,14.89,58
2024-01-10,22,535.62,24.35,54
2024-01-11,31,532.56,17.18,71
2024-01-12,28,521.1,18.61,66
2024-01-13,26,369.47,14.21,64
2024-01-14,22,263.37,11.97,57
2024-01-15,11,95.0,8.64,27
2024-01-16,20,307.48,15.37,50
2024-01-17,29,402.22,13.87,75
2024-01-18,31,577.85,18.64,79
2024-01-19,30,530.2,17.67,78
2024-01-20,32,646.59,20.21,89
2024-01-21,20,291.78,14.59,50
2024-01-22,32,315.55,9.86,73
2024-01-23,30,446.62,14.89,70
2024-01-24,35,551.59,15.76,87
2024-01-25,20,360.89,18.04,44
2024-01-26,22,357.83,16.26,51
2024-01-27,29,406.77,14.03,75
2024-01-28,26,479.76,18.45,66
2024-01-29,27,480.17,17.78,60
2024-01-30,21,381.0,18.14,52
2024-01-31,20,411.4,20.57,49
2024-02-01,35,317.41,9.07,82
2024-02-02,25,341.17,13.65,68
2024-02-03,20,228.42,11.42,37
2024-02-04,21,296.76,14.13,52
2024-02-05,31,404.12,13.04,78
2024-02-06,27,356.43,13.2,64
2024-02-07,20,396.9,19.84,54
2024-02-08,16,140.44,8.78,41
2024-02-09,18,242.22,13.46,37
2024-02-10,27,318.67,11.8,67
2024-02-11,23,299.52,13.02,68
2024-02-12,16,223.66,13.98,35
2024-02-13,28,385.62,13.77,68
2024-02-14,25,533.21,21.33,60
2024-02-15,27,308.9,11.44,57
2024-02-16,25,359.86,14.39,53
2024-02-17,26,390.4,15.02,65
2024-02-18,25,363.71,14.55,57
2024-02-19,22,278.48,12.66,50
2024-02-20,24,324.39,13.52,62
2024-02-21,25,546.27,21.85,65
2024-02-22,24,327.85,13.66,67
2024-02-23,33,660.8,20.02,93
2024-02-24,23,411.09,17.87,63
2024-02-25,28,420.46,15.02,63
2024-02-26,22,419.36,19.06,58
2024-02-27,18,352.73,19.6,43
2024-02-28,21,227.36,10.83,45
2024-02-29,24,544.71,22.7,52
2024-03-01,23,200.2,8.7,46
2024-03-02,21,496.59,23.65,40
2024-03-03,31,484.09,15.62,78
2024-03-04,25,256.02,10.24,57
2024-03-05,24,311.98,13.0,65
2024-03-06,23,433.98,18.87,49
2024-03-07,24,397.47,16.56,59
2024-03-08,15,363.56,24.24,39
2024-03-09,32,366.71,11.46,71
2024-03-10,21,186.47,8.88,51
2024-03-11,34,521.52,15.34,88
2024-03-12,30,339.79,11.33,74
2024-03-13,24,320.34,13.35,63
2024-03-14,20,239.81,11.99,46
2024-03-15,28,278.33,9.94,73
2024-03-16,24,230.67,9.61,58
2024-03-17,26,327.35,12.59,57
2024-03-18,29,390.97,13.48,67
2024-03-19,22,298.63,13.57,54
2024-03-20,24,399.67,16.65,65
2024-03-21,26,283.76,10.91,51
2024-03-22,22,243.6,11.07,54
2024-03-23,25,384.94,15.4,60
2024-03-24,19,231.28,12.17,40
2024-03-25,29,423.99,14.62,72
2024-03-26,30,396.07,13.2,64
2024-03-27,16,183.55,11.47,42
2024-03-28,30,472.33,15.74,79
2024-03-29,21,330.38,15.73,52
2024-03-30,35,482.86,13.8,86
2024-03-31,27,406.81,15.07,58
2024-04-01,22,237.37,10.79,53
2024-04-02,37,666.19,18.01,101
2024-04-03,17,249.53,14.68,51
2024-04-04,25,358.19,14.33,57
2024-04-05,23,246.69,10.73,50
2024-04-06,27,360.14,13.34,66
2024-04-07,31,647.85,20.9,70
2024-04-08,25,342.5,13.7,55
2024-04-09,25,486.4,19.46,72
2024-04-10,26,360.79,13.88,55
2024-04-11,30,471.79,15.73,78
2024-04-12,34,662.07,19.47,85
2024-04-13,27,506.21,18.75,61
2024-04-14,20,380.45,19.02,50
2024-04-15,36,532.24,14.78,75
2024-04-16,29,502.51,17.33,75
2024-04-17,25,410.48,16.42,64
2024-04-18,26,409.81,15.76,70
2024-04-19,28,422.2,15.08,65
2024-04-20,24,198.98,8.29,60
2024-04-21,35,495.48,14.16,90
2024-04-22,28,529.05,18.89,67
2024-04-23,21,251.46,11.97,43
2024-04-24,23,337.75,14.68,59
2024-04-25,21,416.42,19.83,46
2024-04-26,22,355.21,16.15,52
2024-04-27,29,589.04,20.31,81
2024-04-28,27,395.19,14.64,63
2024-04-29,23,307.06,13.35,58
2024-04-30,21,373.35,17.78,49
2024-05-01,28,453.99,16.21,73
2024-05-02,28,384.29,13.72,65
2024-05-03,21,263.47,12.55,44
2024-05-04,27,316.61,11.73,66
2024-05-05,27,514.81,19.07,87
2024-05-06,28,579.25,20.69,67
2024-05-07,28,325.75,11.63,58
2024-05-08,23,274.63,11.94,55
2024-05-09,28,338.41,12.09,73
2024-05-10,21,359.99,17.14,49
2024-05-11,21,326.67,15.56,44
2024-05-12,32,422.18,13.19,84
2024-05-13,26,487.96,18.77,64
2024-05-14,17,496.47,29.2,46
2024-05-15,16,202.57,12.66,38
2024-05-16,26,385.64,14.83,61
2024-05-17,22,352.57,16.03,46
2024-05-18,19,302.45,15.92,44
