venta_id,timestamp,producto,categoria,precio_unit,cantidad,total,proveedor_id,fecha,hora,dia_sem,mes,semana
1,2024-01-07 13:14:00,Leche Gloria Light 1L,Lácteos,4.97,1,4.97,3,2024-01-07,13,Sunday,1,1
2,2024-01-23 07:01:00,Chancay 60g,Panadería,0.49,1,0.49,8,2024-01-23,7,Tuesday,1,4
3,2024-06-03 07:45:00,Chifles La Doña 80g,Snacks,2.02,3,6.06,7,2024-06-03,7,Monday,6,23
4,2024-02-26 21:51:00,Pañales Huggies T3 x30,Higiene,33.0,1,33.0,6,2024-02-26,21,Monday,2,9
5,2024-06-27 21:09:00,Aceite Primor 1L,Abarrotes,9.14,2,18.28,4,2024-06-27,21,Thursday,6,26
6,2024-01-27 07:22:00,Jabón Bolivar 230g,Limpieza,2.82,2,5.64,6,2024-01-27,7,Saturday,1,4
7,2024-07-05 20:59:00,Coca-Cola 500ml,Bebidas,2.44,4,9.76,2,2024-07-05,20,Friday,7,27
8,2024-07-31 17:36:00,Harina Blanca Flor 1kg,Abarrotes,3.24,2,6.48,4,2024-07-31,17,Wednesday,7,31
9,2024-06-18 08:05:00,Coca-Cola 500ml,Bebidas,2.55,2,5.1,2,2024-06-18,8,Tuesday,6,25
10,2024-03-12 21:10:00,Lejía Clorox 900ml,Limpieza,4.46,2,8.92,6,2024-03-12,21,Tuesday,3,11
11,2024-06-28 08:38:00,Fideos Lavaggi 500g,Abarrotes,2.51,2,5.02,4,2024-06-28,8,Friday,6,26
12,2024-02-11 21:59:00,Sal Marina 1kg,Abarrotes,1.47,5,7.35,5,2024-02-11,21,Sunday,2,6
13,2024-08-03 07:14:00,Sardina Florida 425g,Conservas,4.28,1,4.28,4,2024-08-03,7,Saturday,8,31
14,2024-03-09 09:56:00,Papel Higiénico Elite x4,Higiene,8.8,3,26.4,6,2024-03-09,9,Saturday,3,10
15,2024-04-11 20:09:00,Galletas Soda Field,Snacks,2.74,2,5.48,7,2024-04-11,20,Thursday,4,15
16,2024-05-17 09:27:00,Pan de Molde Bimbo 500g,Panadería,6.46,3,19.38,8,2024-05-17,9,Friday,5,20
17,2024-02-05 20:48:00,Azúcar Cartavio 1kg,Abarrotes,3.58,1,3.58,5,2024-02-05,20,Monday,2,6
18,2024-06-09 09:27:00,Yogurt Gloria Fresa 1kg,Lácteos,6.33,3,18.99,3,2024-06-09,9,Sunday,6,23
19,2024-06-01 14:35:00,Lejía Clorox 900ml,Limpieza,4.55,1,4.55,6,2024-06-01,14,Saturday,6,22
20,2024-06-23 14:49:00,Leche Gloria Light 1L,Lácteos,4.85,3,14.55,3,2024-06-23,14,Sunday,6,25
21,2024-04-21 07:46:00,Harina Blanca Flor 1kg,Abarrotes,3.29,3,9.87,4,2024-04-21,7,Sunday,4,16
22,2024-05-09 15:53:00,Aceite Primor 500ml,Abarrotes,5.23,5,26.15,4,2024-05-09,15,Thursday,5,19
23,2024-04-05 06:38:00,Yogurt Gloria Fresa 1kg,Lácteos,6.5,2,13.0,3,2024-04-05,6,Friday,4,14
24,2024-08-25 21:15:00,Leche Gloria Light 1L,Lácteos,4.82,1,4.82,3,2024-08-25,21,Sunday,8,34
25,2024-08-30 09:31:00,Mantequilla Gloria 100g,Lácteos,4.32,1,4.32,3,2024-08-30,9,Friday,8,35
26,2024-07-15 09:30:00,Chancay 60g,Panadería,0.49,3,1.47,8,2024-07-15,9,Monday,7,29
27,2024-08-11 12:59:00,Sublime 36g,Snacks,1.52,3,4.56,7,2024-08-11,12,Sunday,8,32
28,2024-07-01 21:28:00,Arroz Costeño 1kg,Abarrotes,3.79,5,18.95,4,2024-07-01,21,Monday,7,27
29,2024-02-27 07:37:00,Sal Marina 1kg,Abarrotes,1.48,5,7.4,5,2024-02-27,7,Tuesday,2,9
30,2024-01-02 09:03:00,Azúcar Cartavio 1kg,Abarrotes,3.41,2,6.82,5,2024-01-02,9,Tuesday,1,1
31,2024-08-08 20:17:00,Coca-Cola 500ml,Bebidas,2.46,4,9.84,2,2024-08-08,20,Thursday,8,32
32,2024-07-04 21:15:00,Leche Evaporada Gloria,Lácteos,3.26,2,6.52,3,2024-07-04,21,Thursday,7,27
33,2024-01-25 08:22:00,Arroz Costeño 1kg,Abarrotes,3.78,4,15.12,4,2024-01-25,8,Thursday,1,4
34,2024-06-21 09:03:00,Pepsi 500ml,Bebidas,2.33,4,9.32,2,2024-06-21,9,Friday,6,25
35,2024-03-04 09:28:00,Leche Gloria Entera 1L,Lácteos,4.78,1,4.78,3,2024-03-04,9,Monday,3,10
36,2024-04-28 07:28:00,Fideos Lavaggi 500g,Abarrotes,2.44,5,12.2,4,2024-04-28,7,Sunday,4,17
37,2024-08-02 07:59:00,Chancay 60g,Panadería,0.49,1,0.49,8,2024-08-02,7,Friday,8,31
38,2024-05-03 08:57:00,Galletas Soda Field,Snacks,2.74,1,2.74,7,2024-05-03,8,Friday,5,18
39,2024-04-09 08:18:00,Inca Kola 500ml,Bebidas,2.53,4,10.12,1,2024-04-09,8,Tuesday,4,15
40,2024-06-18 10:12:00,Pan de Molde Bimbo 500g,Panadería,6.39,2,12.78,8,2024-06-18,10,Tuesday,6,25
41,2024-05-28 07:47:00,Pepsi 500ml,Bebidas,2.24,3,6.72,2,2024-05-28,7,Tuesday,5,22
42,2024-05-02 20:03:00,Queso Edam Gloria 250g,Lácteos,12.19,3,36.57,3,2024-05-02,20,Thursday,5,18
43,2024-01-18 13:25:00,Aceite Primor 500ml,Abarrotes,5.34,1,5.34,4,2024-01-18,13,Thursday,1,3
44,2024-03-04 07:39:00,Mantequilla Gloria 100g,Lácteos,4.18,1,4.18,3,2024-03-04,7,Monday,3,10
45,2024-05-24 21:13:00,Queso Edam Gloria 250g,Lácteos,12.66,3,37.98,3,2024-05-24,21,Friday,5,21
46,2024-03-08 21:29:00,Sal Marina 1kg,Abarrotes,1.54,3,4.62,5,2024-03-08,21,Friday,3,10
47,2024-01-03 20:04:00,Agua San Luis 500ml,Bebidas,1.18,5,5.9,1,2024-01-03,20,Wednesday,1,1
48,2024-02-03 08:56:00,Fideos Don Vittorio 500g,Abarrotes,2.78,2,5.56,4,2024-02-03,8,Saturday,2,5
49,2024-04-22 15:39:00,Aceite Primor 1L,Abarrotes,8.64,5,43.2,4,2024-04-22,15,Monday,4,17
50,2024-03-17 09:56:00,Pan de Molde Bimbo 500g,Panadería,6.41,1,6.41,8,2024-03-17,9,Sunday,3,11
51,2024-07-09 14:18:00,Leche Gloria Entera 1L,Lácteos,4.72,3,14.16,3,2024-07-09,14,Tuesday,7,28
